,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
253,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
254,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,NA,1,1,1
255,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Pop Up,5,68.7,1,NA,1
256,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,5,NA,5
257,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,2,NA,2
258,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,2,NA,2
259,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,68.3,5,NA,5
260,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,74.2,1,1,1
261,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,74.9,1,1,1
262,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,79.5,5,NA,5
263,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,74,1,1,1
264,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,NA,1,1,1
265,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
266,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,3,NA,3
267,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,96,4,4,4
268,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
269,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
270,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,62.9,5,NA,5
271,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,3,NA,3
272,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
273,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Pop Up,5,NA,1,NA,1
274,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,81.7,3,NA,3
275,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,85.1,5,5,5
276,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
277,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,82,5,NA,5
278,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,78.7,1,1,1
279,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
280,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,50,4,NA,4
281,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,1,1,1
282,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,87.9,4,NA,4
283,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,63.3,5,NA,5
284,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
285,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,61.8,2,NA,2
286,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,69.8,4,NA,4
287,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,53.8,3,3,3
288,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,76.9,4,NA,4
289,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
290,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
291,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
292,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,2,NA,2
293,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
294,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,5,NA,5
295,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
296,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,72.2,4,NA,4
297,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,75.4,3,NA,3
