year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
2010,NIC,Nicaragua,Latin America & the Caribbean,4.3,9.072222222,8.57037037,5.25,7.75,7.400990855,72,8.909028908,10,8.289870137,7.18,58,7.290495428,59,2,78,118,1,3.5
2010,NER,Niger,Sub-Saharan Africa,4.723929,7.866666667,8.068888889,4.75,7.773809524,7.194328501,84,9.839185384,0,6.609422996,5.91,132,6.552164251,109,3,3,2,1,0.1
2010,NGA,Nigeria,Sub-Saharan Africa,3.7,9.355555556,8.186666667,4.75,8.313074708,5.881825547,126,7.255959631,5,6.591801195,6.12,121,6.000912773,126,4,42,5,2,9.1
2010,NOR,Norway,Western Europe,8.7,9.122222222,9.497777778,9,9.714285714,9.561850781,1,9.520148462,10,9.319500302,7.47,29,8.51592539,8,1,169,71,129,6.7
2010,OMN,Oman,Middle East & North Africa,6.410861,7.638888889,6.210740741,3.25,4.511904762,5.433484597,142,9.359320726,10,7.286883642,7.01,68,6.221742299,121,4,22,16,1,0.7
2010,PAK,Pakistan,South Asia,3.5,7.361111111,6.97,3.25,7.257237649,4.83393429,150,7.223772148,0,6.040278915,6.17,120,5.501967145,143,4,0,0,0,0
2010,PAN,Panama,Latin America & the Caribbean,4.9,4.533333333,7.301481481,5.75,8.535714286,7.683680031,60,9.301742255,10,9.127404015,7.22,52,7.451840015,52,2,285,104,18,7.2
2010,PNG,Pap. New Guinea,Oceania,4.234174,4.675,5.315277778,7.25,8.979166667,7.02132918,88,8.796764668,5,7.272039477,6.87,76,6.94566459,77,3,44,39,1,1.5
2010,PRY,Paraguay,Latin America & the Caribbean,4.247778,10,8.916666667,4.25,6.845238095,7.31816814,77,9.069767442,10,8.647866893,6.74,84,7.02908407,72,2,213,117,74,7.3
2010,PER,Peru,Latin America & the Caribbean,5.4,5.922222222,6.22037037,5.5,8.69047619,7.59911769,61,9.694335881,10,9.271921193,7.64,17,7.619558845,48,2,163,160,21,6.1
2010,PHL,Philippines,South Asia,4.2,8.011111111,9.262962963,4.5,8.137981224,7.319929239,76,9.2375,10,9.291430144,7.05,65,7.184964619,65,2,71,186,1,4.6
2010,POL,Poland,Eastern Europe,7.5,7.777777778,8.330740741,7.5,9.261904762,8.929675015,24,9.458509528,10,9.391090039,7.12,61,8.024837508,33,1,343,215,56,10.9
2010,PRT,Portugal,Western Europe,6.6,8.383333333,9.337407407,8.5,9.547619048,8.99970046,22,9.722712377,10,9.751495635,7,69,7.99985023,35,1,194,67,339,11
2010,QAT,Qatar,Middle East & North Africa,6.669343,6.711111111,5.838888889,4,5.80952381,4.960796131,149,9.51494865,10,7.94521339,7.35,38,6.155398065,123,4,1,42,7,0.9
2010,ROU,Romania,Eastern Europe,6.3,8.472222222,9.392222222,6.25,8.845238095,8.749529929,32,8.781156843,10,9.101142252,7.3,46,8.024764965,33,1,297,122,167,10.4
2010,RUS,Russia,Eastern Europe,4.3,4.255555556,6.971851852,1.75,7.66857089,6.493733496,105,8.628396144,10,8.466539175,6.54,99,6.516866748,110,3,247,326,73,11.5
2010,RWA,Rwanda,Sub-Saharan Africa,5.07764,5.694444444,7.111666667,1.5,3.268557254,6.71054342,98,9.538170762,10,8.953199651,7.23,50,6.97027171,76,2,43,2,0,6.8
2010,SAU,Saudi Arabia,Middle East & North Africa,5.730646,8.516666667,6.036666667,2.5,4.686006406,4.606059979,152,8.931372549,10,7.843477253,6.71,86,5.658029989,140,4,0,5,0,0.1
2010,SEN,Senegal,Sub-Saharan Africa,5,9.166666667,9.438518519,5,7.857142857,6.460769639,110,9.749770491,0,7.026807044,5.95,130,6.205384819,122,4,9,1,7,0.3
2010,SRB,Serbia,Eastern Europe,4.7,7.127777778,7.885185185,6.25,9.035714286,7.728382732,58,8.77148928,5,7.942809753,6.56,98,7.144191366,67,2,283,131,127,9.6
2010,SYC,Seychelles,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,25,51,4.1
2010,SLE,Sierra Leone,Sub-Saharan Africa,4.8,10,9.944444444,4.5,7.375,6.475251004,108,6.672955233,5,6.949336469,6.22,116,6.347625502,118,4,25,3,2,6.7
